sourceid,redshift,AGN,LyA,HeII,CIV,CIII],NIV],OIII],MgII,OPT_OII,OPT_O3,OPT_Hb,OPT_4363,Continuum_detected,comment_lin,comment_secondary,plots,JADES_seds
1002360,5.81369,No,No,No,No,No,No,No,No,No,No,No,No,No,,,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1002360.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1002360_EAZY_SED.png
1002411,0.855,,,,,,,,,,,,,,,,,
1002472,3.697,,,,,,,,,,,,,,,,,
1002711,5.79313,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,"LyA, CIII], HeII",Lya CIII] HeII,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1002711.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1002711_EAZY_SED.png
1002715,0.947,,,,,,,,,,,,,,,,,
1003167,5.987,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,LyA,Lya CIII] HeII,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1003167.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1003167_EAZY_SED.png
1003242,2.229,,,,,,,,,,,,,,,,,
1003313,1.999,,,,,,,,,,,,,,,,,
1003896,3.99424,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,optical lines,CIII]+several optical emission lines [OII]4363,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1003896.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1003896_EAZY_SED.png
1004072,3.92878,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Hb+O3,Hb+O3 (additional emission at 1.71micron (Hb (broad) [OIII] contaminations?),https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1004072.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1004072_EAZY_SED.png
1004545,,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,Hb+O3 at around 1.65 Hb broad,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1004545.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1004545_EAZY_SED.png
1004792,4.341,,,,,,,,,,,,,,,,,
1005262,,No,No,No,No,No,No,No,No,No,No,No,No,No,,"noisy, need to look into the reduction",https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1005262.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1005262_EAZY_SED.png
1005572,4.770247118,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,Hb+O3 at around 1.82 (refine z),https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1005572.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1005572_EAZY_SED.png
1005744,4.18456,No,No,No,No,No,No,No,No,No,No,No,No,No,,no emission line,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1005744.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1005744_EAZY_SED.png
1005774,6.66845,No,No,No,No,No,No,No,No,No,No,No,No,No,,no emission line,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1005774.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1005774_EAZY_SED.png
1005836,8.26894,No,No,No,No,No,No,No,No,No,No,No,No,Yes,stellar absorption,no emission line,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1005836.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1005836_EAZY_SED.png
1006058,3.863,,,,,,,,,,,,,,,,,
1006405,4.41,,,,,,,,,,,,,,,,,
1006863,0.681,,,,,,,,,,,,,,,,,
1006976,3.92866,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,"CIII], optical lines",CIII]+several optical emission lines [OII]4363,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1006976.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1006976_EAZY_SED.png
1007034,7.015,No,Yes,No,No,No,No,No,No,No,No,No,No,No,LyA,Lya,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1007034.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1007034_EAZY_SED.png
1007133,3.861,,,,,,,,,,,,,,,,,
1007163,4.065,,,,,,,,,,,,,,,,,
1007230,3.85256,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,"CIII], optical lines",CIII]+several optical emission lines [OII]4363,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1007230.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1007230_EAZY_SED.png
1007878,4.40378,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,[OII]?,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1007878.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1007878_EAZY_SED.png
1008004,4.6809,No,No,No,No,Yes,No,No,No,No,No,No,No,No,CIII],no strong emission,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1008004.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1008004_EAZY_SED.png
1008073,6.565,,,,,,,,,,,,,,,,,
1008075,5.589,,,,,,,,,,,,,,,,,
1008162,4.40423,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,CIII]?+OII,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1008162.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1008162_EAZY_SED.png
1008270,7,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,secondary Lya at 1.74 micron?,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1008270.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1008270_EAZY_SED.png
1008411,4.41,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,,LRD secondary Lya  O2 CIV?,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1008411.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1008411_EAZY_SED.png
1008580,6.99651,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,"NIV], CIV], CIII]",CIV + CIII,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1008580.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1008580_EAZY_SED.png
1008671,4.41,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,optical lines,LRD Hb+O3,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1008671.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1008671_EAZY_SED.png
1009077,6.7581,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,"good continuum, stellar absorption",CIII?,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1009077.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1009077_EAZY_SED.png
1009100,5.29833,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,CIII],HeII + CIII]+O2,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1009100.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1009100_EAZY_SED.png
1009220,3.429,,,,,,,,,,,,,,,,,
1009391,3.825,,,,,,,,,,,,,,,,,
1009502,5.77229,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,CIII],Lya HeII +CIII],https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1009502.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1009502_EAZY_SED.png
1009631,6.55604,No,No,No,No,No,No,No,No,No,No,No,No,No,,an emission at 1.5 micron in 2D,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1009631.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1009631_EAZY_SED.png
1009692,6.748,No,No,No,No,No,No,No,No,No,No,No,No,No,,contaminated by a bright source need to re-reduce?,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1009692.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1009692_EAZY_SED.png
1009935,4.883755324,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,O2?,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1009935.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1009935_EAZY_SED.png
1010008,7.77788,No,No,No,No,No,No,No,No,No,No,No,No,No,,no strong emission,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1010008.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1010008_EAZY_SED.png
1010132,6.758,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,good continuum,CIII] double check redshift? emission at 1.2?,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1010132.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1010132_EAZY_SED.png
1010254,4.40856,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,optical lines,CIII+ optical emission lines  no 4363,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1010254.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1010254_EAZY_SED.png
1010260,8.277809328,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"LyA, NIV, CIV, CIII]","beautiful spectra Lya NIV] CIV, HeII, OIII] CIII]  (HeII weak)",https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1010260.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1010260_EAZY_SED.png
1010371,5.18834,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,,HeII? + O2,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1010371.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1010371_EAZY_SED.png
1010386,5.27,,,,,,,,,,,,,,,,,
1010521,4.87583,No,No,No,No,No,No,No,No,No,No,No,No,No,,"noisy, need to look into the reduction",https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1010521.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1010521_EAZY_SED.png
1010544,6.993598192,No,No,No,No,No,No,No,No,No,No,No,No,No,,no emission line (galaxy not in slit?),https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1010544.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1010544_EAZY_SED.png
1010572,6.99194,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,"OIII], CIII]",CIII? no Lya,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1010572.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1010572_EAZY_SED.png
1010614,6.05368,No,No,No,No,No,No,No,No,No,No,No,No,No,,no emission line,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1010614.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1010614_EAZY_SED.png
1010769,5.609,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,"LyA, CIII]",Lya + CIII] + O3,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1010769.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1010769_EAZY_SED.png
1010806,6.759964002,No,No,No,No,No,No,No,No,No,No,No,No,No,,no emission line,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1010806.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1010806_EAZY_SED.png
1010816,6.758886643,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,"Strong LyA, CIV, HeII, OIII], CIII]","nice spectra Lya + CIV, HeII OII] CIII] + NIV]?",https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1010816.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1010816_EAZY_SED.png
1010882,4.29191,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,optical lines,O3+Hb,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1010882.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1010882_EAZY_SED.png
1011033,5.77574,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,"LyA, CIV, HeII, CIII]","nice spectra Lya + CIV, HeII OII] CIII]",https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1011033.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1011033_EAZY_SED.png
1011508,9.908,No,No,No,No,No,No,No,No,No,No,No,No,No,,something at 2.5mircon in 2d,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1011508.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1011508_EAZY_SED.png
1011601,4.021880175,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,O2+Ne3,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1011601.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1011601_EAZY_SED.png
1011634,4.74972,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,O2,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1011634.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1011634_EAZY_SED.png
1011877,6.309729513,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,"strong LyA, CIV, HeII, OIII], CIII]","nice spectra Lya + CIV, HeII OII] CIII] + a bit O2",https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1011877.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1011877_EAZY_SED.png
1011997,5.12747,No,Yes,No,No,No,No,No,No,No,No,No,No,No,LyA,Lya,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1011997.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1011997_EAZY_SED.png
1012035,5.54561,No,No,No,No,No,No,No,No,No,No,No,No,No,,no strong emission,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1012035.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1012035_EAZY_SED.png
1012114,6.71451,No,No,No,No,No,No,No,No,No,No,No,No,No,,no emission line,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1012114.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1012114_EAZY_SED.png
1012335,4.00115,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,"CIII], optical lines",CIII+ optical emission lines  no 4363,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1012335.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1012335_EAZY_SED.png
1012359,6.712590954,No,No,No,No,No,No,No,No,No,No,No,No,No,,no emission line,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1012359.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1012359_EAZY_SED.png
1012402,7.18511,No,No,No,No,No,No,No,No,No,No,No,No,No,,no emission line (emission at 1.0 contaminations?),https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1012402.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1012402_EAZY_SED.png
1012453,6.02253,No,Yes,No,No,No,No,No,No,No,No,No,No,No,LyA,Lya,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1012453.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1012453_EAZY_SED.png
1012763,4.4606,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,"CIII], optical lines",CIII+ optical emission lines  with 4363,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1012763.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1012763_EAZY_SED.png
1012808,5.67794,No,Yes,No,No,No,No,No,No,No,No,No,No,No,LyA,Lya,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1012808.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1012808_EAZY_SED.png
1012832,4.69469,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,Hb+O3 above the slit (contaminations?),https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1012832.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1012832_EAZY_SED.png
1013041,7.089114228,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,"LYA, CIV",Lya + CIV (not fully in the slit),https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1013041.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1013041_EAZY_SED.png
1013089,7.4169,No,No,No,No,No,No,No,No,No,No,No,No,No,,no emission line (not in the slit),https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1013089.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1013089_EAZY_SED.png
1013368,5.20674,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Lya (2nd) no other emission,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1013368.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1013368_EAZY_SED.png
1013410,5.01694,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,CIII],CIII + O2,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1013410.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1013410_EAZY_SED.png
1013426,5.20791,No,No,No,No,No,No,No,No,No,No,No,No,No,,"noisy, need to look into the reduction",https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1013426.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1013426_EAZY_SED.png
1013546,4.71927,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,contaminations? O3+Hb,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1013546.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1013546_EAZY_SED.png
1014032,6.75047,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Lya noisy need to look into the reduction,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1014032.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1014032_EAZY_SED.png
1014444,5.313513502,No,No,No,No,No,No,No,No,No,No,No,No,No,,no emission line (a low redshift bright emission line galaxy happens to fall in the slit,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1014444.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1014444_EAZY_SED.png
